canon_key,phrase_norm,freq,row_id
622 mm,622 mm,1,683
7 mm armour,7 mm armour,1,684
7 mm feature scales,7 mm feature scales,1,685
7.62 39mm akm assault rifle,7.62 39mm akm assault rifle,1,686
7.62 mm,7.62 mm,1,687
7.65 mm browning,7.65 mm browning,1,688
7.9 mm,7.9 mm,1,689
7.92 mm,7.92 mm,1,690
730mm,730mm,1,691
75 2mw gamesa g87 wind turbines,75 2mw gamesa g87 wind turbines,1,692
75 mm diameter schedule 40 pipe column,75 mm diameter schedule 40 pipe column,1,693
75 mm field gun,75 mm field gun,1,694
75 mm field guns,75 mm field guns,1,695
75 mm gun m3,75 mm gun m3,1,696
77gr open tip match bullet,77gr open tip match bullet,1,697
8 4 cm grg,8 4 cm grg,1,698
8.8 cm,8.8 cm,1,699
97.2 cm,97.2 cm,1,700
9mm luger,9mm luger,1,701
about 75 100 cm,about 75 100 cm,1,702
acceptable frame rates,acceptable frame rates,1,703
adjustable 43mm forks,adjustable 43mm forks,1,704
advertising frame,advertising frame,1,705
aether wind the motion,aether wind the motion,1,706
airtight canopy,airtight canopy,1,707
aka chromatic button melodica,aka chromatic button melodica,1,708
aluminum alloy frame,aluminum alloy frame,1,709
angled tip,angled tip,1,710
animal handle,animal handle,1,711
approximately 1 to 2 mm,approximately 1 to 2 mm,1,712
approximately 2.5 cm,approximately 2.5 cm,1,713
arched ribs,arched ribs,1,714
at least 19 rib-bearing thoracic,at least 19 rib-bearing thoracic,1,715
balance shaft,balance shaft,1,716
ball tip,ball tip,1,717
bearing shaft,bearing shaft,1,718
bent axis approach,bent axis approach,1,719
bent linkages,bent linkages,1,720
black frame,black frame,1,721
black polymer pistol grip,black polymer pistol grip,1,722
blackish shaft-streaks,blackish shaft-streaks,1,723
bolt operating handle,bolt operating handle,1,724
bolt release button,bolt release button,1,725
break movies,break movies,1,726
brick-clad steel frame,brick-clad steel frame,1,727
broken ceramics,broken ceramics,1,728
broken pediment,broken pediment,1,729
